sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,declared_wedge,source_wedge,trial_wedge,continuation_phase,attempt,trial_accepted
sensitivity_700,baseline,baseline,,0.0,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,true,2.035148604,4.878792833062917e-7,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,4.878792833062917e-7,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,baseline,1,true
sensitivity_700,direct_target,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,9.230838267,0.00013288010853629295,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00013288010853629295,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.0025,0.0,0.0025,direct_target,1,true
sensitivity_700,direct_target,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,31.915246601,0.0018148970962661437,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0018148970962661437,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.005,0.0025,0.005,direct_target,1,false
sensitivity_700,continuation_trial,virgin_metal_tax_tax_0_00375,virgin_metal_tax,0.00375,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,27.043757413,0.0018226812597684243,1,0.0,0,regional_composite_market,regional_composite_market,IND_IT_OTHER_SERVICES|IT,0.0018226812597684243,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.005,0.0025,0.00375,continuation_trial,2,false
sensitivity_700,continuation_trial,virgin_metal_tax_tax_0_003125,virgin_metal_tax,0.003125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,20.742696967,0.00015138665512937077,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00015138665512937077,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.005,0.0025,0.003125,continuation_trial,3,true
sensitivity_700,continuation_trial,virgin_metal_tax_tax_0_004375,virgin_metal_tax,0.004375,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,18.835248484,0.00023076903429808393,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00023076903429808393,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.005,0.003125,0.004375,continuation_trial,4,true
sensitivity_700,continuation_trial,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,25.399382641,0.000257972090260683,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.000257972090260683,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.005,0.004375,0.005,continuation_trial,5,true
sensitivity_700,direct_target,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,15.752694314,0.0005306226688182036,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0005306226688182036,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.01,0.005,0.01,direct_target,1,true
sensitivity_700,direct_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,35.021012778,0.0010305353714907817,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010305353714907817,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.02,0.01,0.02,direct_target,1,false
sensitivity_700,continuation_trial,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,38.064201238,0.0008574754966721443,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0008574754966721443,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,2.0,1.0,2.0,2.0,0.02,0.01,0.015,continuation_trial,2,true
